Company Tax ID (TRN),الرقم الضريبي للشركة (TRN)
Enable UAE E-Invoicing,تفعيل الفوترة الإلكترونية الإماراتية
Trade License Number,رقم الرخصة التجارية
UAE E-Invoice Status,حالة الفاتورة الإلكترونية
Generate UAE E-Invoice,إنشاء فاتورة إلكترونية إماراتية
UAE Tax Settings,إعدادات الضرائب الإماراتية
UAE Compliance,الامتثال الإماراتي
Sandbox Mode,وضع التجربة
External Return Against,مرجع الفاتورة الأصلية الخارجية
Peppol Participant ID,معرّف المشارك في بيبول
Verify Peppol ID,التحقق من معرّف بيبول
Refresh Status,تحديث الحالة
E-Invoice Reported,تم إبلاغ الفاتورة الإلكترونية
UAE VAT Group,مجموعة ضريبة القيمة المضافة الإماراتية
UAE Establishment,منشأة إماراتية
UAE VAT Audit Event,حدث تدقيق ضريبة القيمة المضافة
UAE FTA Audit Pack,حزمة تدقيق الهيئة الاتحادية للضرائب
UAE Late Filing Notice,إشعار تأخر التقديم
UAE Late Filing Status,حالة التأخر في التقديم
UAE Group VAT Status,حالة ضريبة المجموعة
Prefer UAE-hosted File storage,تفضيل تخزين الملفات في الإمارات
Data Residency Note,ملاحظة إقامة البيانات
Include Group Members,تضمين أعضاء المجموعة
Tax Currency,عملة الضريبة
Head Office,المكتب الرئيسي
VAT Group TIN,الرقم الضريبي للمجموعة
Days Late,أيام التأخير
Export Audit Zip,تصدير أرشيف التدقيق
Statutory records,السجلات النظامية
